internal_transfer_id,operation_type,transfer_reference,scheduled_date,effective_date,created_date,updated_date,back_order,source_document,transfer_state,source_location,destination_location,transfer_amount
3854,Receipts,WH/IN/06268,2021-03-29 00:19:25.000000,2021-03-29 20:59:44.000000,2021-03-08 00:34:37.439733,2021-03-29 20:59:44.351637,,PO04955,done,Partner Locations/Vendors,WH/Input,
3842,Receipts,WH/IN/06261,2021-02-02 08:22:12.000000,2021-04-08 05:34:24.000000,2021-03-07 21:26:11.061763,2021-04-08 05:34:21.382088,WH/IN/05998,PO04774,done,Partner Locations/Vendors,WH/Input,4360.8
4094,Receipts,WH/IN/06393,2021-03-19 01:35:29.000000,2021-03-19 01:39:36.000000,2021-03-19 01:36:40.326265,2021-03-19 01:39:36.539761,,PO04658,done,Partner Locations/Vendors,WH/Input,
4079,Pick Components,WH/PC/00747,2021-03-18 20:58:50.000000,,2021-03-18 21:00:07.105078,2021-03-19 05:09:44.949643,,MO/03685,cancel,WH/Stock,WH/WIP,
4170,Pick Components,WH/PC/00774,2021-03-23 05:05:28.000000,2021-03-23 05:15:42.000000,2021-03-23 05:05:45.284438,2021-03-23 05:15:40.880429,,MO/03707,done,WH/Stock,WH/WIP,
4378,Receipts,WH/IN/06498,2021-04-29 00:47:14.000000,2021-05-13 03:16:05.000000,2021-04-08 01:25:06.011772,2021-05-13 03:16:05.334178,,PO05097,done,Partner Locations/Vendors,WH/Input,
4053,Receipts,WH/IN/06367,2021-03-30 22:27:26.000000,2021-03-31 23:55:31.000000,2021-03-18 02:28:13.585439,2021-03-31 23:55:31.636795,,PO05015,done,Partner Locations/Vendors,WH/Input,
4396,Pick Components,WH/PC/00832,2021-04-09 00:22:27.000000,2021-04-09 00:38:41.000000,2021-04-09 00:22:40.712847,2021-04-09 00:38:39.964850,,MO/03753,done,WH/Stock,WH/WIP,
4522,Receipts,WH/IN/06556,2021-04-23 05:23:10.000000,2021-05-17 00:17:10.000000,2021-04-16 05:50:47.770953,2021-05-17 00:17:09.702392,,PO05145,done,Partner Locations/Vendors,WH/Input,
5277,Receipts,WH/IN/06862,2021-06-07 01:50:14.000000,2021-06-06 23:39:14.000000,2021-06-04 03:05:16.307366,2021-06-06 23:39:13.669281,,PO05346,done,Partner Locations/Vendors,WH/Input,
4602,Receipts,WH/IN/06582,2021-05-03 00:08:08.000000,2021-04-23 04:30:14.000000,2021-04-21 23:44:50.446763,2021-04-23 04:30:13.789423,WH/IN/06510,PO05094,done,Partner Locations/Vendors,WH/Input,
4244,Receipts,WH/IN/06444,2021-04-28 23:46:21.000000,2021-05-24 00:23:38.000000,2021-03-26 02:06:20.066742,2021-05-24 00:23:38.388157,,PO05050,done,Partner Locations/Vendors,WH/Input,
3974,Receipts,WH/IN/06331,2021-03-10 02:34:11.000000,2021-07-29 23:53:34.000000,2021-03-15 02:31:00.374255,2021-07-29 23:53:33.758356,,PO04962,done,Partner Locations/Vendors,WH/Input,
4185,Receipts,WH/IN/06420,2021-03-24 23:48:55.000000,2021-04-01 03:24:52.000000,2021-03-24 00:13:08.177004,2021-04-01 03:24:52.232811,,PO05045,done,Partner Locations/Vendors,WH/Input,
4303,Receipts,WH/IN/06460,2021-04-07 02:56:54.000000,2021-04-06 00:43:38.000000,2021-03-31 02:10:51.066557,2021-04-06 00:43:37.933991,,PO05072,done,Partner Locations/Vendors,WH/Input,
