serial_num,bom_prod_id,bom_ref,bom_id,active,bom_line_id,product_id,product_qty,default_code
1010398-001,10398,PDM - 20221115,1328,True,32700.0,10460.0,1.0,1010463-001
1010398-001,10398,PDM - 20221115,1328,True,32701.0,10461.0,2.0,1010464-001
1010398-001,10398,PDM - 20221115,1328,True,32702.0,10237.0,7.0,1009990-001
1010398-001,10398,PDM - 20221115,1328,True,32703.0,10240.0,9.0,1009993-001
1010398-001,10398,PDM - 20221115,1328,True,32704.0,10242.0,3.0,1009995-001
1010398-001,10398,PDM - 20221115,1328,True,32705.0,10462.0,2.0,1010465-001
1010398-001,10398,PDM - 20221115,1328,True,32706.0,10463.0,4.0,1010466-001
1010398-001,10398,PDM - 20221115,1328,True,32707.0,10464.0,1.0,1010467-001
1010398-001,10398,PDM - 20221115,1328,True,32708.0,10465.0,1.0,1010468-001
1010398-001,10398,PDM - 20221115,1328,True,32709.0,10466.0,1.0,1010469-001
1010398-001,10398,PDM - 20221115,1328,True,32710.0,10467.0,1.0,1010470-001
1010398-001,10398,PDM - 20221115,1328,True,32711.0,10468.0,1.0,1010471-001
1010398-001,10398,PDM - 20221115,1328,True,32712.0,9707.0,1.0,1009710-001
1010398-001,10398,PDM - 20221115,1328,True,32713.0,10469.0,2.0,1010472-001
1010398-001,10398,PDM - 20221115,1328,True,32714.0,10470.0,1.0,1010473-001
1010398-001,10398,PDM - 20221115,1328,True,32715.0,10471.0,1.0,1010474-001
1010398-001,10398,PDM - 20221115,1328,True,32716.0,10472.0,1.0,1010475-001
1010398-001,10398,PDM - 20221115,1328,True,32717.0,10473.0,1.0,1010476-001
1010398-001,10398,PDM - 20221115,1328,True,32718.0,10474.0,1.0,1010477-001
1010398-001,10398,PDM - 20221115,1328,True,32719.0,10454.0,3.0,1010457-001
1010398-001,10398,PDM - 20221115,1328,True,32720.0,10475.0,1.0,1010478-001
1010398-001,10398,PDM - 20221115,1328,True,32721.0,9721.0,2.0,1009724-001
1010398-001,10398,PDM - 20221115,1328,True,32722.0,10476.0,4.0,1010479-001
1010398-001,10398,PDM - 20221115,1328,True,32723.0,10477.0,2.0,1010480-001
1010398-001,10398,PDM - 20221115,1328,True,32724.0,10478.0,2.0,1010481-001
1010398-001,10398,PDM - 20221115,1328,True,32725.0,9733.0,37.0,1009736-001
1010398-001,10398,PDM - 20221115,1328,True,32726.0,9735.0,3.0,1009738-001
1010398-001,10398,PDM - 20221115,1328,True,32727.0,9738.0,9.0,1009741-001
1010398-001,10398,PDM - 20221115,1328,True,32728.0,10481.0,1.0,1010484-001
1010398-001,10398,PDM - 20221115,1328,True,32729.0,9741.0,4.0,1009744-001
1010398-001,10398,PDM - 20221115,1328,True,32730.0,10482.0,1.0,1010485-001
1010398-001,10398,PDM - 20221115,1328,True,32731.0,9742.0,6.0,1009745-001
1010398-001,10398,PDM - 20221115,1328,True,32732.0,10483.0,6.0,1010486-001
1010398-001,10398,PDM - 20221115,1328,True,32733.0,10484.0,1.0,1010487-001
1010398-001,10398,PDM - 20221115,1328,True,32734.0,10282.0,5.0,1010035-001
1010398-001,10398,PDM - 20221115,1328,True,32735.0,10485.0,1.0,1010488-001
1010398-001,10398,PDM - 20221115,1328,True,32736.0,9756.0,21.0,1009759-001
1010398-001,10398,PDM - 20221115,1328,True,32737.0,10486.0,1.0,1010489-001
1010398-001,10398,PDM - 20221115,1328,True,32738.0,9761.0,1.0,1009764-001
1010398-001,10398,PDM - 20221115,1328,True,32739.0,10487.0,4.0,1010490-001
1010398-001,10398,PDM - 20221115,1328,True,32740.0,10488.0,1.0,1010491-001
1010398-001,10398,PDM - 20221115,1328,True,32741.0,10489.0,19.0,1010492-001
1010398-001,10398,PDM - 20221115,1328,True,32742.0,10490.0,4.0,1010493-001
1010398-001,10398,PDM - 20221115,1328,True,32743.0,10491.0,6.0,1010494-001
1010398-001,10398,PDM - 20221115,1328,True,32744.0,10294.0,1.0,1010047-001
1010398-001,10398,PDM - 20221115,1328,True,32745.0,10492.0,1.0,1010495-001
1010398-001,10398,PDM - 20221115,1328,True,32746.0,10493.0,1.0,1010496-001
1010398-001,10398,PDM - 20221115,1328,True,32747.0,10494.0,2.0,1010497-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32082.0,9492.0,2.0,1009495-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32083.0,9919.0,1.0,1009497-003
