name,default_code,name,delay,min_qty,date_start,date_end,id
Oz Optics Ltd,1004824-001,RIG:CMP:OPT:SCRAMBLER:POLARISATION:3CH,1,0.0,,,3723
SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,1001663-001,EDFA:DICEROS:35DB,28,1.0,,,3372
Yangtze Optical Fibre and Cable Joint Stock Limited Company (YOFC),1001663-001,EDFA:DICEROS:35DB,28,1.0,,,3372
Lapp Australia Pty Ltd,1004710-001,SEN:CMP:MEC:GOKU:GASKET:16.5MM:24MM,1,0.0,,,3866
Retech Precision Mould Limited,1001451-002,SEN:CMP:MEC:NAT:GOKU:COAXIAL:SHIM:LEFT:7MM,14,1.0,,,3910
SCORPTEC COMPUTERS,1006211-001,RIG:CMP:ELC:PC:MOUSE:OPTICAL,1,0.0,,,3621
Micro Fasteners Pty Ltd,1001622-001,SCREW:HEX:CSK:ISO10642:ZP:M3:6MM,14,1.0,,,3777
AFW Technologies Pty Ltd,1005655-001,RIG:CMP:OPT:DELAY:FIBER:200M:FC/APC,0,1.0,,,3710
Grand Venture Technology,1001473-003,ENG:CMP:MEC:DICEROS:HEAT:SINK:TOP,35,25.0,,,3408
Grand Venture Technology,1001473-003,ENG:CMP:MEC:DICEROS:HEAT:SINK:TOP,35,50.0,,,3408
Grand Venture Technology,1001473-003,ENG:CMP:MEC:DICEROS:HEAT:SINK:TOP,35,100.0,,,3408
Grand Venture Technology,1001473-003,ENG:CMP:MEC:DICEROS:HEAT:SINK:TOP,35,1000.0,,,3408
Retech Precision Mould Limited,1001981-003,EDF:CMP:ALU:NAT:ATLAS:HEATSINK,21,1.0,,,3370
Dajiang Model and Tooling,1002108-001,SENS:CASE:WHITE:ACETAL:GOKU4:SPINNING_GRATING_CLAMP,21,1.0,,,4074
Gorilla Circuits,1004708-001,ASY:PCA:RIPLEY-RIGHT,1,0.0,,,2861
Opneti Communications Co,1003784-001,ISO:2_STAGE:250UM:NONE:1M:HIGH_POWER,14,20.0,,,3499
Sourceman International Pty Ltd,1001316-001,PCB:FORTUNA-FINICKY,35,1.0,,,3555
Open Wiring Systems,1001545-004,ENG:ASY:CBL:DICEROS:EMC:BOX,14,1.0,,,2758
PORT PLASTICS & TOOLING PTY LTD,1001545-004,ENG:ASY:CBL:DICEROS:EMC:BOX,7,1.0,,,2758
"DJ MODEL & TOOLING CO.,LIMITED",1009355-002,CMP:SAS:MEC:SP25:MOTOR_HOUSING_REAR (copy),1,60.0,,,9500
"DJ MODEL & TOOLING CO.,LIMITED",1009355-002,CMP:SAS:MEC:SP25:MOTOR_HOUSING_REAR (copy),1,15.0,,,9500
"DJ MODEL & TOOLING CO.,LIMITED",1003804-002,SENS:ADAPT:BLACK:GOKU5:FIBRE_ORG_CONDUIT,21,0.0,,,4020
Simbol Test Systems Inc,1005676-001,RIG:CMP:OPT:SCRAMBLER:POLARIZATION:PS155A,0,1.0,,,3724
Zaber,1005664-001,RIG:CMP:MEC:STAGE:MOTORIZED:LINEAR:100MM,0,1.0,,,3689
Lapp Australia Pty Ltd,1002127-001,Multi-hole Insert:DIX-M_M20_4X4mm,14,1.0,,,3534
Digi-Key Electronics,1001640-001,CONNECTOR:M12-8_A_CODED:FEMALE,35,1.0,,,3173
Retech Precision Mould Limited,1001133,", Coax 3 Hybrid Thick Shims Shim 1.STEP (5x5.4x2.25mm) Al6061",1,1.0,,,4230
Kaoyu International Co,1001495-002,SENS:ADAPT:NATURAL:GOKU:P3_WINDOW,60,1.0,,,4051
Fuzhou Hitronics Optics Co Ltd (do not use - old),1001495-002,SENS:ADAPT:NATURAL:GOKU:P3_WINDOW,60,1.0,,,4051
CURRAN ENGINEERING,1001495-002,SENS:ADAPT:NATURAL:GOKU:P3_WINDOW,7,1.0,,,4051
North American Coating Laboratories,1001495-002,SENS:ADAPT:NATURAL:GOKU:P3_WINDOW,48,1.0,,,4051
Retech Precision Mould Limited,1001458-003, SENS:ADAPT:BLACK:GOKU:P3_FIBRE_ORG_COVER,1,1.0,,,4213
Retech Precision Mould Limited,1001665-001,ASSY:JIG:ALU:GOKU3:MAGNET_RING_JIG,21,1.0,,,2732
"Shenzhen TOJOIN Communication Technology CO.,Ltd.",1006263-001,RIG:CMP:MEC:CHAMBER:ANECHOIC:MS5060,1,0.0,,,3654
AFW Technologies Pty Ltd,1005652-001,RIG:CMP:OPT:DELAY:FIBER:50M:FC/APC,0,1.0,,,3711
Dajiang Model and Tooling,1002109-001,SENS:CASE:WHITE:GOKU4:SPINNING_GRATING_SHIM,21,1.0,,,4075
Lapp Australia Pty Ltd,1002130-001,Reducer:MR-M_M32_M20,14,1.0,,,3756
"FLEXTRONICS INTERNATIONAL USA, INC",1001548-003,ASY:PCA:EMC_BOX,35,1.0,,,2829
RS Components Pty Ltd,1006218-001,RIG:CMP:ELC:ADAPTER:RF:BNC:SMA,1,0.0,,,3596
Hangzhou Asia Infrastructure Tech. Co. Ltd (AITC),1005659-001,RIG:CMP:OPT:SPLITTER:50/50:1550NM,0,1.0,,,3725
Zaber,1005663-001,RIG:CMP:MEC:STAGE:MOTORIZED:LINEAR:150MM,0,1.0,,,3690
Industrial-man Technology Development Co Ltd,1003797-001,SYS:ADAPT:METAL:BLACK:GUARD:FIBRE,21,0.0,,,4156
"Hilltop Technology Laboratory, Inc.",1003797-001,SYS:ADAPT:METAL:BLACK:GUARD:FIBRE,21,0.0,,,4156
SCORPTEC COMPUTERS,1006205-001,RIG:CMP:ELC:PC:RACK:MOUNT,1,0.0,,,3622
Retech Precision Mould Limited,1001133,", Coax 3 Hybrid Thick Shims Shim 1.STEP (5x5.4x2.25mm) Al6061",1,1.0,,,4231
Cubed3 Limited,1001324-003,1001324-003,28,0.0,,,4247
Retech Precision Mould Limited,1001514-003, SENS:ADAPT:BLUE:GOKU:FRONT_HOUSING,1,1.0,,,4214
"DJ MODEL & TOOLING CO.,LIMITED",1003965-002,ENG:ADAPT:AL:NATURAL:DICEROS:SFF_LASER_CLAMP,28,1000.0,,,3380
"DJ MODEL & TOOLING CO.,LIMITED",1003965-002,ENG:ADAPT:AL:NATURAL:DICEROS:SFF_LASER_CLAMP,28,100.0,,,3380
